publication_number,title,claims,claim1,label
US-9354179-B2,Optical detection system for liquid samples,,"An optical detection system for liquid samples, comprising:
a light source configured to emit light;
a sample holder adapted to contain a liquid sample, the sample holder being positioned so that the emitted light interacts with the liquid sample;
a detector configured to receive light having interacted with the liquid sample; and
a processing unit coupled to the detector, said processing unit arranged to analyze a signal from the detector to ascertain at least one characteristic of the liquid sample.",refine
US-8204655-B2,Construction machine,,"A construction machine, comprising:
a frame;
a propulsion system connected to the frame, adapted to move the construction machine over a surface;
a power source attached to the frame, arranged to supply operational energy;
a working implement affixed to the frame, adapted for performing a construction task;
an actuation system linked to the working implement, arranged to manipulate the working implement; and
a control system adapted to control the propulsion system and the actuation system.",refine
US-6250905-B1,Closing unit for injection moulding machine,,"1. A closing unit for an injection moulding machine, the closing unit comprising:
   a fixed platen adapted to receive a first mould half;
   a movable platen adapted to receive a second mould half;
   at least two tie bars interconnecting the fixed platen and the movable platen, the tie bars guiding the movement of the movable platen;
   and a clamping mechanism mechanically coupled to at least one of the fixed platen and the movable platen, the clamping mechanism adapted to displace the movable platen between an open position and a closed position and to exert a clamping force on the first and second mould halves when in the closed position.",refine
US-8331605-B2,Voice coil and loudspeaker using the same,,"A loudspeaker comprising:
a frame;
a magnet assembly affixed to the frame, the magnet assembly forming an annular magnetic gap;
a diaphragm possessing a central portion and an outer perimeter;
a suspension system positioned between the outer perimeter of the diaphragm and the frame; and
a voice coil assembly coupled to the central portion of the diaphragm, the voice coil assembly including a coil former having an electrically conductive winding wound thereon, wherein the voice coil assembly is situated within the annular magnetic gap.",refine
US-7720893-B2,Methods and apparatus for providing map locations in user applications using URL strings,,"A method for presenting map locations within a user application, the method comprising:
obtaining, by a computing device executing said user application, a Uniform Resource Locator (URL) string;
identifying, by the computing device, geographic map location data corresponding to the obtained URL string;
creating, by the computing device, a map view derived from the identified geographic map location data, configured for presentation within the user application;
and presenting, by the computing device, the created map view within a graphical user interface of said user application, wherein the presented map view illustrates the geographic map location.",refine
US-9263362-B2,Method of forming a ring-shaped metal structure,,"A method for producing a metallic ring structure, said method comprising:
supplying a metal workpiece;
establishing a central aperture within the metal workpiece; and
establishing an outer periphery of the metal workpiece, wherein said central aperture and said outer periphery collectively define an annular area that constitutes the metallic ring structure.",refine
US-7279018-B2,Fuel composition for a diesel engine,,"A fuel blend for a diesel engine, comprising:
a base diesel fuel;
a cetane improver, in an amount sufficient to elevate the cetane number of the base diesel fuel;
a cold flow improver, at a level effective to enhance the low-temperature operability of the base diesel fuel; and
a detergent additive, in an amount effective to mitigate or prevent deposit formation within the diesel engine.",refine
US-7701523-B2,Electro-optical device,,"An electro-optical device comprising:
an electrical interface arranged to transmit or receive an electrical signal;
an optical interface arranged to transmit or receive an optical signal;
an electro-optical conversion element coupled between the electrical interface and the optical interface, said element operable to convert an electrical signal into an optical signal, convert an optical signal into an electrical signal, or modulate an optical signal based on an electrical signal;
a power unit electrically connected to the electro-optical conversion element; and
an enclosure containing the electrical interface, the optical interface, and the electro-optical conversion element.",refine
US-6455267-B1,Methods and kits useful for determining the status of and detecting pancreatic B-cell associated autoimmune diseases,,"1. A method for assessing the status of or diagnosing a pancreatic B-cell associated autoimmune disease in a subject, comprising:
    providing a biological sample from the subject;
    measuring in the biological sample the presence or level of at least one biomarker suggestive of pancreatic B-cell autoimmunity;
    comparing the measured presence or level of the at least one biomarker to an established reference value; and
    ascertaining, from the comparison, the status of a pancreatic B-cell associated autoimmune disease in the subject.",refine
US-6306703-B1,Memory array having a digit line buried in an isolation region and method for forming same,,"A memory array, comprising:
    a semiconductor substrate;
    multiple memory cells disposed over the semiconductor substrate;
    an isolation region located within the semiconductor substrate; and
    a digit line electrically connected to at least one of the multiple memory cells, said digit line being embedded within the isolation region;",refine
US-8522625-B2,Flow measuring apparatus including a deflectable membrane applied to a constriction,,"A flow measuring apparatus, comprising:
a conduit defining a fluid passage;
a constriction element positioned within the fluid passage, said constriction element creating a restricted cross-sectional area through which fluid moves;
a deflectable membrane operatively connected to the constriction element such that the deflectable membrane is subjected to a pressure differential generated across the constriction element by fluid movement;
and a sensing element arranged to detect deflection of the deflectable membrane and to produce a signal representative of a flow rate through the fluid passage based on the detected deflection.",refine
US-8580234-B2,Method for removing solid product formed on surfaces of teeth,,"A method for detaching solid product from dental surfaces, comprising:
    bringing said solid product residing on the dental surfaces into contact with a removal tool; and
    achieving dislodgement of said solid product from the dental surfaces.",refine
US-8820811-B1,Standard interface rack,,"A standard interface rack, comprising:
a frame structure providing a plurality of standardized mounting bays;
a power distribution system integrated into the frame structure, said power distribution system comprising a plurality of standardized power connectors positioned within each of said plurality of standardized mounting bays, said standardized power connectors configured to provide electrical power to electronic modules adapted for insertion into the mounting bays;
a data communication system integrated into the frame structure, said data communication system comprising a plurality of standardized data connectors positioned within each of said plurality of standardized mounting bays, said standardized data connectors configured to facilitate data communication among electronic modules adapted for insertion into the mounting bays and with external systems; and
each of said plurality of standardized mounting bays configured to mechanically and electrically accommodate distinct electronic modules compliant with a predefined interoperability standard, thereby facilitating interchangeability and interoperability among the distinct electronic modules.",refine
US-6837693-B2,Fluid-pumping system employing piston-driven pump and employing at least one pulsation dampener,,"A fluid-pumping system, comprising:
a piston-driven pump having an inlet for receiving fluid and an outlet for expelling said fluid; and
at least one pulsation dampener fluidically connected to said outlet of the piston-driven pump, said pulsation dampener configured to mitigate pressure pulsations in the fluid discharged from said piston-driven pump;
whereby the system provides fluid flow with diminished pressure pulsations.",refine
US-8224765-B2,Method for computing the relative likelihood of failures,,"A method for determining the relative likelihood of failures, comprising:
determining a plurality of potential failure events pertaining to a system or process;
acquiring data reflecting failure conditions or characteristics for each of the plurality of potential failure events;
calculating, for each determined potential failure event, a distinct likelihood score based on said acquired data;
evaluating the distinct likelihood scores among the plurality of potential failure events to ascertain a relative likelihood for each determined potential failure event; and
producing an output representative of the ascertained relative likelihoods.",refine
US-8062638-B1,Prevention and treatment of diseases associated with blood coagulation,,"1. A method for addressing or managing a condition linked to blood coagulation in a subject in need thereof, comprising administering to said subject a therapeutically or prophylactically effective amount of an active compound, wherein said active compound regulates blood coagulation; and wherein said active compound is delivered within a pharmaceutically acceptable carrier.",refine
US-7651717-B2,Beverage,,"A beverage, comprising:
a drinkable liquid base; and
at least one ingestible agent adapted to impart taste or aroma to said liquid base.",refine
US-9318006-B2,Systems and methods for haptic confirmation of commands,,"1. A system for haptic confirmation of commands, the system comprising:
    an input interface adapted to obtain a user command;
    a processor communicatively coupled to the input interface, said processor operative to:
        process the received user command; and
        identify a haptic feedback profile associated with the user command;
    a haptic feedback generator communicatively coupled to the processor, the haptic feedback generator operative to produce a haptic sensation based on the identified haptic feedback profile;
    wherein the generated haptic sensation conveys a haptic confirmation of the user command to the user.",refine
US-6200983-B1,Dosage forms containing apomorphine for ameliorating male erectile dysfunction,,A dosage form comprising a therapeutically effective amount of apomorphine or a pharmaceutically acceptable salt thereof; and at least one pharmaceutically acceptable excipient; for the amelioration of male erectile dysfunction.,refine
US-9486261-B2,Nail-plate combination,,"1. A nail-plate combination comprising: a nail including a shank, a pointed tip at a distal end of said shank, and a head at a proximal end of said shank; and a plate having a planar body and at least one aperture provided therein, said plate being situated at said proximal end of said shank such that a portion of said shank extends through said aperture, and said plate is secured by said head of said nail, preventing movement along said shank.",refine
US-7898030-B2,High-voltage NMOS-transistor and associated production method,,"A high-voltage NMOS transistor, comprising:
a semiconductor substrate having a first conductivity type;
a gate electrode disposed over the semiconductor substrate;
a gate dielectric layer situated between the gate electrode and the semiconductor substrate, said gate dielectric layer possessing a thickness configured to withstand breakdown voltages exceeding a predetermined low-voltage threshold;
a source region of a second conductivity type established within the semiconductor substrate, laterally adjacent to a first side of the gate electrode;
a drain region of the second conductivity type established within the semiconductor substrate, laterally separated from a second side of the gate electrode; and
an extended drain drift region of the second conductivity type, less heavily doped than the drain region, situated within the semiconductor substrate between a channel region beneath the gate electrode and the drain region, said extended drain drift region adapted to sustain high drain-to-source voltages.",refine
US-9552981-B2,Method and apparatus for forming metal oxide film,,"A method for depositing a metal oxide film, comprising:
  providing a substrate within a reaction chamber;
  introducing a metal-containing precursor into the reaction chamber;
  introducing an oxygen-containing precursor into the reaction chamber;
  maintaining the substrate at a temperature suitable for film formation; and
  reacting the metal-containing precursor with the oxygen-containing precursor on a surface of the substrate to deposit the metal oxide film.",refine
US-8036397-B2,Method for estimating the position of a sound source for online calibration of auditory cue to location transformations,,"A method for localizing a sound source to enable online calibration of auditory cue to location transformations, comprising:
obtaining a plurality of sound signals emanating from a sound source, where each signal is received by a distinct sensor at a separate location;
deriving at least one auditory cue from the received sound signals, the at least one auditory cue indicative of a spatial property of the sound source;
determining an initial position of the sound source utilizing the at least one auditory cue and a current set of auditory cue to location transformations;
calculating a difference between the determined initial position and a reference position of the sound source, where the reference position is independently established or known; and
modifying the current set of auditory cue to location transformations in response to the calculated difference, thereby achieving online calibration of the auditory cue to location transformations.",refine
US-7114155-B2,Programmable controller,,"A programmable controller, including:
a processor adapted to execute program instructions and process data;
a memory coupled to the processor, said memory storing the program instructions and data;
an input interface coupled to the processor, said input interface configured to receive input signals from one or more external devices;
an output interface coupled to the processor, said output interface configured to generate output control signals for one or more external devices; and
wherein the processor is configured to execute said stored program instructions based on the received input signals and the stored data, to generate output control signals for controlling the operation of the one or more external devices.",refine
US-6958960-B2,Information reproducing method and apparatus,,"An information recovery method, comprising:
receiving a data stream that includes encoded data;
evaluating the received data stream to ascertain one or more encoding attributes of the encoded data;
choosing a decoding scheme from a set of available decoding schemes according to the ascertained encoding attribute;
decoding the encoded data via the chosen decoding scheme to produce decoded information; and
presenting the decoded information in a perceptible form.",refine
US-9870165-B2,Back-up and restoration of data between volatile and flash memory,,"A computing system comprising:
a volatile memory configured to store dynamic data;
a non-volatile flash memory configured to store persistent data;
a control unit communicatively coupled to the volatile memory and the non-volatile flash memory;
wherein the control unit is configured to:
detect a trigger event signaling a forthcoming alteration in power state or an operating condition impacting data retention within the volatile memory;
in response to detecting the trigger event, initiate a back-up operation to autonomously transfer the dynamic data from the volatile memory to the non-volatile flash memory for enduring preservation;
subsequently detect a recovery event signaling a resumption of an operational state; and
in response to detecting the recovery event, initiate a restoration operation to autonomously transfer the persistent data from the non-volatile flash memory back to the volatile memory;
thereby enabling uninterrupted safeguarding and retrieval of the dynamic data during the power state alteration or operating condition.",refine
US-9126351-B2,Slab production and processing,,"A method for producing and processing a material slab, including the steps of:
forming a raw material into an elongated slab;
continuously conveying the elongated slab from a forming station to a processing station;
performing at least one processing operation on the elongated slab at the processing station, wherein said at least one processing operation comprises at least one of cutting, shaping, or surface treating the elongated slab; and
collecting discrete slab portions subsequent to said performing at least one processing operation;",refine
US-9627719-B2,Charging method of battery and battery charging system,,"A method of charging a battery, the method comprising:
providing a charging current and/or voltage to the battery;
monitoring one or more operating parameters of the battery, said one or more operating parameters comprising at least one of battery voltage, battery current, battery temperature, or battery state of charge;
adaptively modifying one or more charging parameters of the provided charging current and/or voltage in response to the monitored operating parameter;
wherein said adaptive modification is performed to optimize one or more of charging speed, battery longevity, or battery safety.",refine
US-8183063-B2,Organic light emitting device and method of fabricating the same,,"1. An organic light emitting device, comprising:
   a substrate;
   an anode positioned above the substrate;
   a cathode disposed over the anode; and
   an organic layer stack interposed between the anode and the cathode, said organic layer stack comprising at least one hole transport layer, an organic light emitting layer, and at least one electron transport layer;
   wherein the organic light emitting device is adapted to emit light responsive to an electrical current between the anode and the cathode.",refine
US-6338985-B1,Making chip size semiconductor packages,,"1. A method for fabricating chip-scale semiconductor packages, the method comprising:
    providing a plurality of semiconductor dice;
    providing a substrate panel comprising a plurality of package sites;
    securing each of the plurality of semiconductor dice to a corresponding package site on the substrate panel in a flip-chip configuration;
    dispensing an underfill material between each of the plurality of semiconductor dice and the substrate panel;
    curing the underfill material;
    forming an encapsulant over the plurality of semiconductor dice and portions of the substrate panel, wherein the encapsulant is configured to extend only minimally beyond lateral edges of the corresponding semiconductor dice;
    forming a plurality of external electrical contacts on a bottom surface of the substrate panel, each plurality of external electrical contacts being electrically coupled to a respective semiconductor die, and being configured to be substantially co-extensive with a footprint of that respective semiconductor die; and
    singulating the substrate panel into a plurality of individual chip-scale semiconductor packages.",refine
US-8786830-B2,Immersion lithographic apparatus including a pressure sensor to measure pressure of the immersion liquid and a device manufacturing method,,"An immersion lithographic apparatus, comprising:
a projection system arranged to cast a patterned radiation beam onto a substrate;
a substrate stage adapted to retain the substrate;
an immersion liquid supply system arranged to furnish an immersion fluid to a region between the projection system and the substrate;
and a pressure sensor adapted to sense the pressure of the immersion fluid within the region between the projection system and the substrate.",refine
US-8638171-B2,Radiofrequency amplifier,,"A radiofrequency amplifier, comprising:
a radiofrequency input port configured to accept an incoming radiofrequency signal;
a radiofrequency output port configured to deliver an amplified radiofrequency output signal;
an active amplifying component operatively connected between the radiofrequency input port and the radiofrequency output port, wherein the active amplifying component amplifies the input radiofrequency signal;
a biasing circuit configured to supply operating power to the active amplifying component;
an input impedance matching network interposed between the radiofrequency input port and an input of the active amplifying component, the input impedance matching network structured to align the impedance of the radiofrequency input port with an input impedance of the active amplifying component; and
an output impedance matching network connected between an output of the active amplifying component and the radiofrequency output port, the output impedance matching network arranged to align an output impedance of the active amplifying component with the impedance of the radiofrequency output port.",refine
US-9728256-B2,Methods and apparatuses having a voltage generator with an adjustable voltage drop for representing a voltage drop of a memory cell and/or a current mirror circuit and replica circuit,,"An apparatus, comprising:
a voltage generator;
wherein said voltage generator is configured to provide a variable voltage drop;
said variable voltage drop representing the voltage drop of at least one of a memory cell, a current mirror circuit, and a replica circuit.",refine
US-6581384-B1,Cooling and heating apparatus and process utilizing waste heat and method of control,,"1. An apparatus for delivering cooling and heating employing waste heat, comprising:
    a waste heat source;
    a thermal energy extraction unit arranged to transfer thermal energy from said waste heat source to a working fluid;
    a cooling subsystem operatively coupled to said thermal energy extraction unit and adapted to provide a cooling effect;
    a heating subsystem operatively coupled to said thermal energy extraction unit and adapted to provide a heating effect; and
    a control system arranged to control the functioning of said thermal energy extraction unit, said cooling subsystem, and said heating subsystem for selectively furnishing said cooling effect, said heating effect, or both, in response to sensed operational parameters and a defined demand.",refine
US-7482207-B2,Electronic devices,,"An electronic device comprising:
a processing unit arranged to perform instructions;
a memory unit communicatively coupled to the processing unit and arranged to store instructions and data;
multiple sensors arranged to sense environmental conditions and/or user interaction pertaining to the electronic device;
a power management unit communicatively coupled to the processing unit and arranged to manage power supply to diverse components of the electronic device;
wherein the processing unit is additionally arranged to:
obtain historical usage data of the electronic device and sensor data from said multiple sensors;
process the obtained historical usage data and sensor data to formulate a forecast for future usage profiles or power requirements of the electronic device;
create a power management command in view of the forecast; and
send the power management command to the power management unit, wherein said power management unit is additionally arranged to modify one or more operational parameters of the electronic device upon receipt of said power management command to enhance power efficiency.",refine
US-6492614-B2,System and process for magnetic fixturing of optical components on bench for solder attach,,"A system for magnetically securing optical components upon a bench for solder attachment, the system comprising:
a bench platform;
a reconfigurable optical component fixture arranged on the bench platform;
at least one magnetic element integrated within or coupled to the reconfigurable optical component fixture; and
at least one optical component having a magnetically responsive feature adapted to interact with the at least one magnetic element;
wherein the at least one magnetic element is configured to steadfastly retain the at least one optical component in a defined orientation and position relative to the bench platform for a solder attachment process; and
further wherein the reconfigurable optical component fixture is arranged to permit unobstructed access to a solderable interface of the at least one optical component during the solder attachment process.",refine
US-7531401-B2,Method for improved fabrication of a semiconductor using a stress proximity technique process,,"A method for enhanced fabrication of a semiconductor device, the method comprising:
providing a semiconductor substrate comprising a region intended for device formation;
creating at least one stress-inducing structure adjacent to the region of the semiconductor substrate;
producing a localized stress field within the region of the semiconductor substrate by means of the at least one stress-inducing structure; and
altering at least one material property, electrical property, or structural characteristic of the semiconductor substrate within said region by said localized stress field to enhance device performance or reliability.",refine
US-7952138-B2,Memory circuit with field effect transistor and method for manufacturing a memory circuit with field effect transistor,,"A memory circuit comprising:
a field effect transistor (FET) serving as a memory cell, said FET comprising a gate, a source, and a drain;
wherein said FET is adapted to store a data state through a threshold voltage shift determined by a stored charge;
a word line electrically connected to the gate of said FET;
a bit line electrically connected to either the source or the drain of said FET; and
control circuitry adapted to apply voltages to the word line and the bit line for programming, reading, or erasing the data state held within said FET.",refine
US-9316698-B2,Electrical device power management,,"An electrical device, comprising:
a power source arranged to furnish electrical power;
at least one electrical component adapted to consume said electrical power; and
a power management unit coupled to said power source and said at least one electrical component, said unit being configured to observe at least one operating condition of the electrical device and, responsive to said observed operating condition, dynamically regulate the power supplied from the power source to said at least one electrical component to optimize at least one operational parameter of the electrical device.",refine
US-8948329-B2,Apparatus and methods for timing recovery in a wireless transceiver,,"An apparatus for timing recovery in a wireless transceiver, comprising:
a receiver adapted to acquire an incident wireless signal;
a sampler arranged to sample the incident wireless signal, thereby generating sampled data at a sampling rate governed by a sampling clock;
a timing error detector coupled to said sampler, said timing error detector operative to generate a timing error signal derived from the sampled data, said timing error signal reflecting a timing disparity between the sampling clock and a symbol timing of the incident wireless signal;
a loop filter coupled to said timing error detector, said loop filter adapted to filter the timing error signal, thereby producing a filtered timing error signal; and
a clock recovery unit coupled to said loop filter, said clock recovery unit arranged to modify the sampling clock in response to the filtered timing error signal, thereby aligning the sampling clock with the symbol timing of the incident wireless signal.",refine
US-6650533-B2,Pluggable drive carrier assembly,,"A pluggable drive carrier assembly comprising:
a carrier housing adapted to house and secure a data storage drive therein;
an electrical connector situated on a rear section of the carrier housing, the electrical connector arranged to electrically connect with a complementary connector on a backplane upon insertion of the carrier housing into a drive bay;
a retention mechanism attached to the carrier housing, the retention mechanism adapted to selectively retain the carrier housing within the drive bay and enable tool-free extraction of the carrier housing therefrom; and
at least one guide feature located on an external surface of the carrier housing, the at least one guide feature arranged to interface with a complementary guide feature within the drive bay to aid alignment during insertion and withdrawal of the carrier housing.",refine
US-8491210-B2,"Oral care system, kit and method",,"An oral care kit comprising:
a first component containing an oral care composition;
a second component including an applicator device, the applicator device being adapted for use within an oral cavity; and
directions for employing the applicator device to apply the oral care composition to a surface of the oral cavity.",refine
US-6856406-B2,Ultra small spot generator,,"An apparatus for creating an ultra-small spot, comprising:
a source adapted to produce an energy beam;
a focusing assembly functionally connected to said source and adapted to receive said energy beam, said focusing assembly incorporating at least one high numerical aperture element and structured to converge said energy beam onto a target plane;
wherein said focusing assembly is additionally arranged to create a spot at said target plane possessing a characteristic dimension significantly less than a diffraction limit of said energy beam; and
a control system functionally connected to at least one of said source and said focusing assembly, configured to manage the emission and focusing of said energy beam.",refine
US-7926180-B2,Method for manufacturing gas and liquid storage tanks,,"A method for producing a storage tank for gas and liquid, comprising:
shaping a main body portion of the tank from a sheet material;
shaping at least one end closure for the tank from a sheet material;
connecting the at least one end closure to the main body portion along a seam to form a closed vessel;
sealing the seam to ensure a leak-tight state of the closed vessel; and
pressurizing the closed vessel to a designated test pressure to confirm its structural integrity and leak-tightness.",refine
US-7610503-B2,Methods for generating a delayed clock signal,,"A method for generating a delayed clock signal, comprising:
obtaining an input clock signal;
transmitting the input clock signal through one or more delay elements, the one or more delay elements being configured to impart a predetermined delay amount to the input clock signal; and
providing the processed input clock signal as the delayed clock signal, the delayed clock signal exhibiting a phase delay relative to a phase of the input clock signal by the predetermined delay amount.",refine
US-8387945-B2,Method and system for a magnetic actuator,,"1. A magnetic actuator system, comprising a magnetic field generator arranged to generate a magnetic field; a movable armature magnetically responsive to said magnetic field, the magnetic field inducing its movement; a control circuit electrically linked to the magnetic field generator, the control circuit adapted to vary at least one characteristic of the magnetic field; and an output interface mechanically connected to the movable armature, said output interface adapted to convey mechanical energy produced by the armature's movement to an external load.",refine
US-9772022-B2,"Mechanical system, injection pump and valve actuator comprising such a mechanical system and manufacturing method",,"1. A mechanical system, comprising:
    a first member adapted to receive an input motion or force;
    a second member adapted to generate an output motion or force responsive to said input motion or force; and
    an intermediate mechanism operatively connecting the first member and the second member, wherein said intermediate mechanism is arranged to convert the input motion or force into the output motion or force in accordance with a predetermined kinematic relationship or force transmission characteristic.",refine
US-9728603-B2,Bipolar junction transistors with double-tapered emitter fingers,,"A bipolar junction transistor, comprising:
    a semiconductor substrate;
    a collector region of a first conductivity type established within the semiconductor substrate;
    a base region of a second conductivity type established within the collector region; and
    an emitter region of the first conductivity type established within the base region,
        wherein the emitter region includes a plurality of emitter fingers projecting into the base region,
        wherein each of the plurality of emitter fingers has a profile exhibiting a taper along its longitudinal dimension and a taper along a transverse dimension.",refine
US-6670251-B2,Method of fabricating semiconductor device,,"1. A method of manufacturing a semiconductor device, comprising:
obtaining a substrate;
forming over the substrate at least one semiconductor layer;
forming at least one device structure within or upon the at least one semiconductor layer; and
subsequently forming at least one interconnect structure electrically coupled to the at least one device structure.",refine
US-7507584-B2,Method for the diagnosis of chronic stress and related disorders,,"A method for detecting chronic stress or a related disorder in an individual, comprising:
acquiring a biological sample from the individual;
measuring a level of at least one biomarker associated with chronic stress or a related disorder in the biological sample;
comparing said measured level of the at least one biomarker to a predetermined reference level; and
identifying the individual as having chronic stress or a related disorder based on a deviation of said measured level from said reference level.",refine
US-9498431-B2,Controlled releasing composition,,"A controlled-release composition comprising:
an active agent; and
a release-modulating matrix associated with said active agent, said release-modulating matrix configured to regulate the release rate of said active agent over a specified duration.",refine
US-9580679-B2,Methods and devices for sample lysis,,"A method for lysing a sample, comprising:
placing a sample within a lysis zone;
subjecting the sample within the lysis zone to a lysis stimulus, wherein said lysis stimulus comprises at least one of mechanical energy, thermal energy, electrical energy, or a chemical agent; and
disrupting constituents of the sample utilizing the lysis stimulus, thereby forming a lysed sample.",refine
US-9449822-B2,Method of forming semiconductor structures with contact holes,,"1. A method for fabricating semiconductor structures having contact holes, comprising:
    providing a semiconductor substrate;
    depositing a dielectric layer over the semiconductor substrate;
    creating a patterned mask layer over the dielectric layer, wherein the patterned mask layer delineates at least one opening at a desired contact hole location;
    etching through the dielectric layer via the at least one opening in the patterned mask layer, thereby forming at least one contact hole, the at least one contact hole extending through the dielectric layer to expose an underlying portion of the semiconductor substrate or an underlying conductive film;
    populating the at least one contact hole with a conductive material.",refine
US-6426541-B2,Schottky diode having increased forward current with improved reverse bias characteristics and method of fabrication,,"A Schottky diode comprising:
a semiconductor substrate of a first conductivity type having a first surface and an opposing second surface;
an ohmic contact situated on the first surface of the semiconductor substrate;
a Schottky metal layer situated on the second surface of the semiconductor substrate, which forms a rectifying contact with the semiconductor substrate;
a localized high-doping region of the first conductivity type integrated into the semiconductor substrate directly beneath and contacting a central portion of the Schottky metal layer, this localized high-doping region being configured to diminish an effective Schottky barrier height, thereby enhancing forward current of the Schottky diode;
and a field termination structure integrated into the semiconductor substrate positioned peripheral to the localized high-doping region and encircling the rectifying contact, this field termination structure being configured to alleviate electric field crowding at an edge of the rectifying contact, thereby enhancing reverse bias characteristics of the Schottky diode.",refine
US-7304347-B2,Method for fabricating a power semiconductor device having a voltage sustaining layer with a terraced trench facilitating formation of floating islands,,"A method for producing a power semiconductor device, comprising:
providing a semiconductor substrate;
forming a voltage sustaining layer on the semiconductor substrate;
creating a terraced trench within the voltage sustaining layer, the terraced trench exhibiting a plurality of laterally offset steps along at least one sidewall thereof, said steps delineating a varying depth profile into the voltage sustaining layer;
introducing a dielectric material into the terraced trench to form a trench isolation region; and
forming a plurality of floating islands in the voltage sustaining layer, wherein the plurality of floating islands are physically isolated from each other by the trench isolation region.",refine
US-8429534-B2,"Graphical user interface, display control device, display method, and program",,"A display control device comprising:
a display unit configured to present a graphical user interface (GUI);
an input unit configured to receive user input data;
a processor coupled to the display unit and the input unit;
a memory coupled to the processor and storing program instructions;
wherein the processor, in response to executing the program instructions, is configured to:
generate graphical elements comprising the GUI for display on the display unit;
determine a device state or an environmental parameter; and
dynamically modify at least one visual attribute or interactive functionality of one or more of the graphical elements based on the determined device state or the environmental parameter.",refine
US-9741583-B2,"Substrate treatment method, computer readable storage medium and substrate treatment system",,"A method for treating a substrate, comprising:
obtaining a substrate designated for treatment;
ascertaining one or more treatment parameters for the obtained substrate;
producing a set of machine-executable control instructions utilizing the one or more ascertained treatment parameters; and
actuating a substrate treatment apparatus to effect a treatment upon the substrate in accordance with the produced set of machine-executable control instructions.",refine
US-8564283-B2,"Rotation-angle-detecting apparatus, rotating machine and rotation-angle-detecting method",,"A rotation-angle-detecting apparatus, comprising:
    a rotatable member adapted to rotate about an axis;
    a stationary member disposed relative to the rotatable member;
    a sensing arrangement operative to generate a signal reflecting a relative angular position between the rotatable member and the stationary member;
    a processing unit electronically coupled with the sensing arrangement, the processing unit adapted to ascertain the rotational angle of the rotatable member from the generated signal; and
    an output interface adapted to furnish said determined rotation angle.",refine
US-7576768-B2,Imaging apparatus,,"1. An imaging apparatus, comprising:
a light source configured to project light towards a subject;
an optical system configured to receive light reflected or transmitted from the subject and subsequently form an image;
an image sensor configured to capture the image formed by the optical system and generate corresponding image data; and
a processor configured to receive the image data from the image sensor and produce an output image.",refine
US-6781404-B2,Semiconductor integrated circuit and manufacturing method thereof,,"A semiconductor integrated circuit, comprising:
a semiconductor substrate;
a plurality of active devices disposed on the semiconductor substrate; and
a multilevel interconnect structure positioned over the semiconductor substrate and electrically connected to the plurality of active devices; said multilevel interconnect structure comprising:
    a plurality of conductive layers; and
    a plurality of interlevel dielectric layers;
wherein at least one of said interlevel dielectric layers incorporates a porous low-k dielectric material adapted to reduce parasitic capacitance between adjacent conductive layers thereof.",refine
US-9651095-B2,Coupling,,"A coupling comprising:
a first coupling member having a recessed receiving portion with an internal engagement surface;
a second coupling member having an insertable male portion with an external engagement surface, said male portion being structured to cooperatively engage said recessed receiving portion;
a plurality of radially translatable locking elements arranged circumferentially within said first coupling member, each of said locking elements resiliently urged by a spring mechanism towards an extended position;
an annular groove formed on said external engagement surface of said male portion, dimensioned to receive said extended locking elements, thereby securing said first coupling member to said second coupling member; and
an actuation collar slidably mounted on said first coupling member, said actuation collar adapted to selectively retract said locking elements from said annular groove, allowing disengagement of said male portion from said recessed receiving portion.",refine
US-9469041-B2,Methods and equipment for cutting food products,,"A method for cutting food products, including:
    delivering a food product to a cutting station;
    orienting the food product relative to at least one cutting element;
    activating said at least one cutting element to engage and sever the food product along a predefined cutting path;
    isolating the severed portions of the food product from any remaining unsevered parts; and
    removing the severed portions from the cutting station.",refine
US-9242322-B2,Jig for aligning door hinge of automatic system for mounting door hinge to vehicle,,"A jig for positioning a door hinge for mounting to a vehicle via an automated mounting system, said jig comprising:
a main body;
a hinge reception portion formed with the main body, said hinge reception portion configured to securely receive and hold the door hinge in a specific orientation;
at least one vehicle interface element projecting from the main body, said at least one vehicle interface element configured to accurately engage a datum surface of the vehicle body to achieve a fixed alignment of the jig relative to the vehicle; and
an automated system interface portion formed with the main body, said automated system interface portion configured to mechanically connect with an end effector of the automated system for manipulating and controlling the jig;
wherein, when the door hinge is received in the hinge reception portion and the at least one vehicle interface element engages the datum surface of the vehicle body, the door hinge is maintained in a precise mounting position relative to the vehicle for subsequent attachment by the automated system.",refine
US-6315355-B1,Method and apparatus for triggering a sliding and hinged sun roof,,"An apparatus for controlling a sliding and hinged sun roof, comprising:
a user input device configured to receive a user command for a sun roof panel, said user command specifying a desired movement chosen from a sliding action and a hinging action;
a control unit electronically coupled to the user input device, said control unit configured to interpret the received user command;
a sun roof assembly comprising a sun roof panel, a sliding rail system for facilitating the sliding movement of the sun roof panel relative to a roof opening, and a hinge mechanism for facilitating the hinging movement of the sun roof panel relative to said roof opening;
at least one actuator mechanically connected to the sun roof assembly and electrically coupled to the control unit;
wherein the control unit is further configured to actuate the at least one actuator to effectuate the desired movement of the sun roof panel, such that the sun roof panel either executes the sliding movement along the sliding rail system or engages in the hinging movement through the hinge mechanism, in accordance with the interpreted user command.",refine
