publication_number,title,claim1,label
US-6446258-B1,Interactive instruction scheduling and block ordering,"A method for optimizing program code execution, comprising:
obtaining program code composed of multiple instructions arranged into basic blocks;
displaying to a user a visual depiction of said program code along with various optimization choices concerning instruction scheduling within said basic blocks and basic block ordering;
obtaining user selections of at least one of said optimization choices or direct modifications to said instruction scheduling within said basic blocks or said basic block ordering;
responsively applying the selected optimization choices or user-provided modifications to produce an optimized instruction schedule for said instructions within said basic blocks and an optimized basic block order for said basic blocks; and
producing optimized program code utilizing said optimized instruction schedule and said optimized basic block order.",refine
US-6228708-B1,Method of manufacturing high voltage mixed-mode device,"A method of fabricating a high voltage mixed-mode device, the method comprising:
obtaining a semiconductor substrate;
forming a plurality of low voltage (LV) active regions and a plurality of high voltage (HV) active regions on the semiconductor substrate;
selectively forming a first gate dielectric layer having a first thickness over the LV active regions;
selectively forming a second gate dielectric layer having a second thickness, greater than said first thickness, over the HV active regions;
forming gate electrodes over the first and second gate dielectric layers;
forming LV source/drain regions within the LV active regions, said LV source/drain regions having a first junction depth and a first doping concentration profile;
forming HV source/drain regions within the HV active regions, said HV source/drain regions having a second junction depth and a second doping concentration profile, wherein said second junction depth exceeds said first junction depth and said second doping concentration profile incorporates a drift region adapted for high voltage operation;
forming isolation structures between certain of the LV active regions and the HV active regions; and
forming conductive interconnects electrically coupled to the LV source/drain regions, the HV source/drain regions, and the gate electrodes, thereby completing the high voltage mixed-mode device.",refine
US-6343300-B1,File updating method capable of updating an operation file without interrupting online processing,"A method for modifying an operation file without disrupting online processing, the method comprising:
retaining a first instance of an operation file as an active file, which is continuously accessed by active online processing;
generating a second instance of the operation file, wherein the second instance is separate from the first instance and incorporates updated data;
verifying the second instance of the operation file to ensure its operational readiness; and
redirecting access for the ongoing online processing from the first instance of the operation file to the second instance of the operation file, thereby enabling the ongoing online processing to seamlessly transition its access from the first instance to the second instance without interruption.",refine
US-6340448-B1,Surface plasmon sensor,"1. A surface plasmon sensor, comprising:
   a substrate;
   a metal layer positioned on the substrate, the metal layer configured to support surface plasmon resonance;
   an optical coupling element adapted to couple light from a light source to the metal layer for exciting the surface plasmon resonance;
   a sensing region located adjacent to the metal layer, the sensing region adapted to receive a sample; and
   a detector configured to detect a characteristic change in the surface plasmon resonance resulting from an interaction between the sample and the metal layer within the sensing region.",refine
US-6381068-B1,Reflective projection screen and projection system,"1. A projection system comprising a projector adapted to generate and project an image-bearing light beam; and a reflective projection screen disposed to accept the image-bearing light beam from the projector, the reflective projection screen including a reflective surface structured and arranged to direct the incident image-bearing light beam towards a viewing region, wherein the reflective surface exhibits a reflective characteristic adapted to improve image contrast and brightness for an observer in the viewing area.",refine
US-6236076-B1,Ferroelectric field effect transistors for nonvolatile memory applications having functional gradient material,"A ferroelectric field-effect transistor device, including:
a substrate;
a source electrode positioned over said substrate;
a drain electrode positioned over said substrate, thereby defining a channel region therebetween;
a gate stack situated over said channel region, said gate stack comprising a ferroelectric layer; and
a gate electrode formed over said gate stack;
wherein said ferroelectric layer displays a functional gradient.",refine
US-6365935-B1,TFT having hydrogen containing buffer and substrate regions,"A thin-film transistor (TFT) including:
a hydrogenated substrate;
a hydrogenated buffer layer situated over the hydrogenated substrate;
a semiconductor layer located above the hydrogenated buffer layer;
a gate insulator positioned upon the semiconductor layer;
a gate electrode formed above the gate insulator; and
a source electrode and a drain electrode, both electrically connected to the semiconductor layer.",refine
US-6831927-B1,Fault protection for hitless and errorless switching of telecommunications signals,"1. A system for fault-tolerant handling of telecommunications signals, comprising:
   an input port configured for receiving an incoming telecommunications signal;
   a primary signal path connected to said input port, said primary signal path configured to transmit said incoming telecommunications signal;
   a backup signal path connected to said input port, said backup signal path configured to transmit said incoming telecommunications signal;
   a fault detection module coupled to said primary signal path, said fault detection module configured to identify a fault condition within said primary signal path;
   a switching module coupled to an output of said primary signal path and an output of said backup signal path, said switching module configured to designate one of said primary signal path and said backup signal path as an active signal source;
   an output port configured to supply an outgoing telecommunications signal from said active signal source; and
   a control module connected to said fault detection module and said switching module, said control module configured to, responsive to said fault detection module identifying said fault condition, instruct said switching module to shift the active signal source from said primary signal path to said backup signal path;
   wherein said system is configured to execute said shift in a manner that ensures said outgoing telecommunications signal remains substantially uninterrupted and substantially error-free during a transition period and subsequently.",refine
US-6207016-B1,Method for dividing a paper web,"A method for segmenting a paper web, comprising:
propelling a continuous paper web along a path;
sensing a predetermined length of the continuous paper web;
activating a cutting device upon sensing the predetermined length; and
imparting a cutting force by said cutting device to the continuous paper web at a location corresponding to the predetermined length, thereby severing the continuous paper web into at least two discrete portions.",refine
US-6181577-B1,Auxiliary bias circuit for a power supply and a method of operation thereof,"1. An auxiliary bias circuit for a power supply, including:
    an input terminal arranged to receive a primary voltage from the power supply;
    an output terminal arranged to provide an auxiliary bias voltage to a control circuit of the power supply;
    a voltage conversion stage coupled between the input terminal and the output terminal, said voltage conversion stage configured to produce the auxiliary bias voltage from the primary voltage;
    a control module coupled to the voltage conversion stage, said control module adapted to regulate the auxiliary bias voltage; and
    a sensing module coupled to the power supply, said sensing module adapted to detect an operational state of the power supply;
    wherein the control module is further configured to activate the voltage conversion stage to supply the auxiliary bias voltage during a first operational mode of the power supply, and to either deactivate the voltage conversion stage or diminish its operation during a second operational mode of the power supply when a main bias source is active.",refine
US-6631171-B1,QPSK modulation signal receiving unit,"A QPSK signal receiver, comprising:
an input configured for receiving a QPSK modulated signal;
a downconverter coupled to the input and operable to translate the received QPSK modulated signal into a baseband or an intermediate frequency (IF) signal;
an analog-to-digital converter coupled to the downconverter and configured for digitizing the baseband or IF signal;
a demodulator coupled to the analog-to-digital converter and operable to recover data symbols from the digitized baseband or IF signal, employing carrier synchronization and symbol timing synchronization; and
an output port coupled to the demodulator and arranged to output the recovered data symbols.",refine
US-6748122-B1,"Image processing apparatus, image processing method and image processing program storage medium","An image processing apparatus, comprising:
an input unit adapted to acquire image data;
a memory unit adapted to store image data and image processing instructions;
a processing unit coupled to the input unit and the memory unit, and configured to execute the image processing instructions stored in the memory unit for performing an image processing operation on the acquired image data; and
an output unit coupled to the processing unit, and configured to output the processed image data resulting from said image processing operation.",refine
US-7278342-B1,Tool connecting device,"1. A tool attachment device, comprising:
    a main body including a first end and a second end;
    a first coupling structure located at the first end and adapted to couple with a drive element;
    a second coupling structure located at the second end and adapted to couple with a tool element;
    a locking mechanism movably carried by the main body, said locking mechanism arranged to selectively engage and retain the tool element within the second coupling structure; and
    an actuation member operatively coupled to the locking mechanism, said actuation member adapted to transition the locking mechanism between an engaged state and a disengaged state.",refine
US-6248170-B1,Swab device for coating an element,"A swab device for applying a coating to an article, the device comprising:
an elongated shaft having a first end and a second end;
an applicator head coupled to the first end of the elongated shaft;
wherein the applicator head includes an absorbent material adapted to absorb a coating composition; and
wherein the applicator head is further configured to uniformly apply the absorbed coating composition onto a surface of the article.",refine
US-6224569-B1,Compact needle point shield,"A compact needle tip shield comprising:
a body having a first and a second end, the first end presenting an aperture adapted to receive a needle tip;
and a protective component functionally connected to the body, the protective component being movable between a deployed position, wherein the protective component projects from the first end to cover the needle tip, and a stowed position, wherein the protective component is substantially retracted within the body, thereby providing a compact profile.",refine
US-7048727-B1,Continuous feeding and decompressing device and method,"A device for continuous feeding and decompressing material, including:
a housing forming an interior volume;
an inlet port in fluid connection with the interior volume for admitting a material;
a continuous feeding mechanism situated within the interior volume, connected to the inlet port, and arranged to continuously transport the material from the inlet port;
a decompression chamber formed within the interior volume and in fluid connection with the continuous feeding mechanism, wherein the decompression chamber is adapted to lower the pressure on the transported material;
a vacuum source connected to the decompression chamber and arranged to extract gas from the decompression chamber to sustain a reduced pressure therein; and
an outlet port in fluid connection with the decompression chamber for expelling the decompressed material.",refine
US-6315297-B1,Seal,"1. A seal, comprising:
    a resilient sealing member having a predetermined cross-sectional profile;
    the resilient sealing member additionally comprising at least a first contact surface and a second contact surface;
    wherein said first contact surface is adapted to establish a fluid-tight interface with a first structural element;
    wherein said second contact surface is adapted to establish a fluid-tight interface with a second structural element; and
    wherein the resilient sealing member is sized for compressive engagement between the first structural element and the second structural element, thereby preventing fluid passage therebetween.",refine
US-6903558-B1,Digitizing ohmmeter system,"An ohmmeter system, comprising:
a current source arranged to supply a predetermined current across an unknown resistance;
a voltage sensing circuit operative to measure an analog voltage drop across the unknown resistance;
an analog-to-digital converter communicatively coupled to the voltage sensing circuit, the analog-to-digital converter arranged to convert the measured analog voltage drop into a digital voltage signal;
a processing unit electrically coupled to the analog-to-digital converter, the processing unit programmed to compute a digital resistance value utilizing the predetermined current and the digital voltage signal; and
an output interface connected to the processing unit, the output interface adapted to display the digital resistance value.",refine
US-6221241-B1,Process for removal of sulphur together with other contaminants from fluids,"A method for eliminating sulfur and at least one additional contaminant from a fluid, comprising:
contacting said fluid with an adsorbent material capable of adsorbing sulfur compounds and said at least one additional contaminant from said fluid under effective adsorption conditions;
segregating said fluid from said adsorbent material to obtain a treated fluid exhibiting diminished concentrations of sulfur compounds and said at least one additional contaminant; and
regenerating said adsorbent material to eliminate adsorbed sulfur compounds and said at least one additional contaminant therefrom, thereby making said adsorbent material ready for subsequent application.",refine
US-6444033-B1,Article comprising a diffuser with flow control features,"1. An article, comprising:
a diffuser possessing an inlet and an outlet, said diffuser configured to accept a fluid flow at the inlet and expel the fluid flow from the outlet; and
at least one flow control feature incorporated within the diffuser, wherein the at least one flow control feature is operable to modify at least one characteristic of the fluid flow between the diffuser's inlet and outlet.",refine
US-6657628-B1,"Method and apparatus for specification, control and modulation of social primitives in animated characters","A method for defining, managing, and modulating social primitives for animated characters, the method comprising:
defining a plurality of social primitives, wherein each social primitive embodies a fundamental unit of social behavior for an animated character;
managing the application of at least one social primitive from said plurality of social primitives to an animated character based on a contextual input pertinent to the animated character; and
modulating at least one characteristic parameter of the applied social primitive to dynamically refine a nuance of the core social behavior exhibited by the animated character.",refine
US-6420791-B1,Alignment mark design,"An alignment mark design including multiple geometric features disposed in a pattern; wherein said geometric features possess specific shapes and dimensions; wherein said pattern defines a specific spatial relationship between said geometric features; and wherein said predetermined shapes, dimensions, and spatial relationship are adapted to enable generation of a measurable signal indicative of relative positional alignment between a first component and a second component.",refine
US-6898437-B1,Power adaption in a multi-station network,"A method for power management in a multi-station network, said method comprising:
receiving, by a first station within the multi-station network, a communication signal from at least one other station of said network;
assessing, by the first station, a channel characteristic derived from the received communication signal;
ascertaining, by the first station, a transmission power level for future transmissions based on the assessed characteristic; and
dispatching, by the first station, a subsequent communication signal employing the ascertained transmission power level;
wherein the ascertained transmission power level is adapted to preserve a target communication quality for the subsequent communication signal while substantially optimizing the energy efficiency of the first station.",refine
US-6463328-B1,Adaptive brain stimulation method and system,"A method for adaptive brain stimulation, comprising:
obtaining brain activity data from a subject;
analyzing the obtained brain activity data to ascertain a current brain state of the subject;
comparing the current brain state to a target brain state or a therapeutic goal;
modifying one or more stimulation parameters of a brain stimulation signal in response to said comparison; and
transmitting the brain stimulation signal with the modified stimulation parameters to a brain region of the subject.",refine
US-6529209-B1,Method for providing privately viewable data in a publically viewable display,"A method for providing private data within a publicly viewable display environment, the method comprising:
rendering public information on a public display device, said public display device being observable by a plurality of individuals;
detecting at least one authorized individual from said plurality of individuals;
creating private information linked with said public information; and
optically rendering said private information, whereby said private information is spatially correlated with said public information on said public display device, and is visually discernible by said at least one authorized individual via an authorized viewing apparatus, yet substantially visually indiscernible to unauthorized individuals lacking said authorized viewing apparatus.",refine
US-6856598-B1,Communications system,"A communications system, comprising:
a transmitter arranged to generate and transmit a data signal bearing information;
a receiver configured to receive said data signal and to derive said information therefrom; and
a communication channel interconnecting said transmitter and said receiver;
wherein said transmitter and said receiver operate in accordance with a predetermined communication protocol to enable said transmission and reception of said data signal.",refine
US-7970062-B1,Method for distributing high and low-bandwidth voice channels using a minimum number of timeslots,"A method for distributing high and low-bandwidth voice channels with minimized timeslot usage, comprising:
identifying a collection of voice channels, said collection of voice channels including at least one high-bandwidth voice channel and at least one low-bandwidth voice channel;
ascertaining a bandwidth requirement for each of the plurality of voice channels;
assigning the plurality of voice channels to a group of available timeslots by:
    designating each high-bandwidth voice channel to at least one dedicated timeslot in accordance with its ascertained bandwidth requirement; and
    combining a plurality of low-bandwidth voice channels into a shared timeslot according to their ascertained bandwidth requirements;
wherein said allocating minimizes the total number of timeslots used for conveying the identified plurality of voice channels; and
forwarding the allocated plurality of voice channels within the minimized total number of timeslots.",refine
US-7654213-B1,Normal belt capstan assembly,"A capstan assembly for a standard belt, comprising:
a rotatable capstan body featuring a circumferential belt engagement surface adapted to frictionally engage the standard belt;
a drive mechanism mechanically linked to the capstan body for imparting rotational motion thereto;
a support structure mechanically connected to the drive mechanism and the capstan body to facilitate mounting of the assembly; and
a tensioning mechanism arranged to exert a force upon the standard belt against the circumferential belt engagement surface, thereby ensuring consistent frictional engagement between the capstan body and the standard belt.",refine
US-6482143-B1,Raidoactive therapeutic seed having selective marker configuration,"A radioactive therapeutic seed comprising:
a hermetically sealed, biocompatible capsule having an elongated body;
a radioactive isotope contained within said capsule; and
a plurality of radiopaque markers placed on or within a wall of said capsule, said markers being arranged in a selective configuration;
wherein said selective configuration is defined by at least one of a distinct pattern, a distinct number, a distinct shape, or a distinct arrangement of said markers;
and wherein said selective configuration is configured to uniquely identify at least one characteristic of the seed selected from a type of seed, a dose strength, an intended target, or an orientation of the seed, when viewed under medical imaging.",refine
US-6305807-B1,Digital electrochromic mirror system,"A system comprising:
an electrochromic mirror adapted to modify an optical characteristic upon receipt of an electrical signal;
a digital controller communicatively coupled to the electrochromic mirror, the digital controller arranged to produce a digital control signal;
at least one sensor communicatively coupled to the digital controller, the sensor adapted to discern an environmental condition or user input and transmit sensor data to the digital controller;
a driver circuit communicatively coupled to the digital controller and electrically coupled to the electrochromic mirror, the driver circuit configured to receive the digital control signal from the digital controller and to deliver the electrical signal to the electrochromic mirror responsive to the digital control signal, thereby causing the electrochromic mirror to adjust its optical property in accordance with the detected environmental condition or user input.",refine
US-6920334-B1,Method and apparatus for providing gain control feedback in RF amplifiers,"A method for offering gain control feedback in an RF amplifier, comprising:
amplifying an RF input signal to generate an RF output signal;
observing an output characteristic of the RF output signal;
comparing the observed output characteristic to a target reference value;
generating an error signal that reflects the difference between the observed output characteristic and the target reference value; and
supplying the error signal to a gain control input of the RF amplifier, thereby enabling adjustment of the RF amplifier's gain to lessen the difference.",refine
US-6305997-B1,Self-aligning universal joint assembly for a stern drive,"1. A self-aligning universal joint assembly for a stern drive, the assembly comprising:
   a first shaft member adapted for connection to an engine output shaft;
   a second shaft member adapted for connection to a propeller drive shaft;
   a universal joint interposed between and linking the first shaft member and the second shaft member, the universal joint configured to transmit torque while facilitating a primary angular displacement between the first shaft member and the second shaft member; and
   a self-aligning mechanism incorporated into at least one of the first shaft member, the second shaft member, or the universal joint, the self-aligning mechanism including a resiliently deformable element or a spherical bearing arrangement, the self-aligning mechanism configured to passively correct for static and dynamic axial, radial, or offset angular misalignments between the first shaft member and the second shaft member that extend beyond the primary angular displacement capability of the universal joint, thereby facilitating automatic alignment adjustment of the universal joint assembly within the stern drive.",refine
US-6335511-B1,Control method and apparatus for an arc welding system,"1. A control system for an arc welding system, said system comprising:
a welding power source configured to furnish electrical energy for creating an arc between a welding electrode and a workpiece;
a welding torch configured to secure the welding electrode and guide the arc;
at least one sensor configured to detect at least one real-time welding parameter during the arc welding operation;
a control unit in communication with the at least one sensor and the welding power source, said control unit programmed to obtain the detected real-time welding parameter from said at least one sensor, compare said detected real-time welding parameter with a predetermined target parameter, ascertain a deviation between said detected real-time welding parameter and said predetermined target parameter, and generate a control signal responsive to the ascertained deviation; and
at least one actuator in communication with the control unit and configured to modify an output characteristic of the welding power source or a positioning characteristic of the welding torch based on the control signal, thereby enabling dynamic control of the arc welding operation.",refine
US-6366251-B1,Antenna protection device,"An apparatus for protecting an antenna, comprising:
a housing fabricated from a weather-resistant material and adapted to substantially envelop at least a portion of an antenna;
a mounting mechanism coupled to said housing and adapted for securely fastening said housing to a support structure or directly to the antenna; and
wherein the housing features a signal-transmissive region adapted to permit electromagnetic signals to traverse to or from the enclosed antenna, while incurring minimal signal degradation.",refine
US-6359081-B1,"Block copolymer with condensation or vinyl polymer, functions imparting, and lower cohesive E segments","A block copolymer comprising:
a first polymer block comprising a polymer resulting from a condensation polymerization or a vinyl polymerization; and
a second polymer block containing E segments, where said E segments exhibit a lower cohesive energy density than said first polymer block.",refine
US-6247635-B1,High density connector having a ball type of contact surface,"A high density electrical connector, comprising:
a housing including an insulating body;
a plurality of electrically conductive contacts retained within said housing;
wherein said contacts are configured in a multi-row array;
each of said contacts comprising a mating end and a terminal end;
the mating end of at least one of said plurality of contacts presenting a substantially spherical contact surface;
said substantially spherical contact surface adapted for resilient electrical engagement with a corresponding mating contact surface of an opposing connector.",refine
US-6909902-B1,Radio base station equipment and mobile station equipment determining location of mobile station by associating with another radio base station or mobile station in a mobile communication system,"A method for ascertaining a location of a mobile station equipment in a mobile communication system, the method comprising:
establishing a connection between a first mobile station equipment and at least one other communication equipment, said at least one other communication equipment comprising at least one of a radio base station equipment and a second mobile station equipment;
exchanging position-relevant data between said first mobile station equipment and said at least one other communication equipment via said connection; and
ascertaining the location of said first mobile station equipment by at least one of said first mobile station equipment and said at least one other communication equipment utilizing said exchanged position-relevant data.",refine
US-6318267-B1,Integrated circuit configuration and ignition unit,"An ignition unit comprising:
an integrated circuit arranged to produce ignition control signals in accordance with a programmable configuration;
an igniter operatively connected to the integrated circuit;
wherein the integrated circuit modifies at least one characteristic of an ignition event produced by the igniter pursuant to the programmable configuration.",refine
US-7355416-B1,Measurement of cable quality by power over ethernet,"A method for assessing the quality of an Ethernet cable utilizing Power over Ethernet (PoE) techniques, the method comprising:
connecting a Power over Ethernet (PoE) test apparatus to a target Ethernet cable;
supplying electrical power from the PoE test apparatus to at least one conductor pair of the target Ethernet cable;
the PoE test apparatus measuring at least one electrical property of the target Ethernet cable while the electrical power is supplied;
the PoE test apparatus determining a quality metric for the target Ethernet cable based on the measured electrical property; and
producing an output reflecting the determined quality metric.",refine
US-7395589-B1,Rotational power servo toolpost,"A rotational power servo toolpost comprising:
a toolpost base adapted for mounting on a machine tool carriage;
a rotatable tool mounting turret affixed to the toolpost base, the turret having at least one tool receiving interface;
a servo motor functionally connected to the rotatable tool mounting turret, said servo motor arranged to effect rotational movement of the rotatable tool mounting turret;
at least one position sensor arranged to supply feedback to a control system concerning an angular position of the rotatable tool mounting turret;
the control system functionally linked to the servo motor and the at least one position sensor, said control system adapted to precisely control and maintain the angular position of the rotatable tool mounting turret utilizing feedback from the at least one position sensor; and
a locking mechanism functionally connected to the rotatable tool mounting turret and the control system, said locking mechanism arranged to selectively lock the rotatable tool mounting turret at a desired angular position as directed by the control system.",refine
US-6745210-B1,Method for visualizing data backup activity from a plurality of backup devices,"A method comprising:
    receiving, by one or more processors, data reflecting backup operations from a plurality of separate backup devices;
    analyzing, by the one or more processors, the received data to derive aggregated backup activity metrics;
    creating, by the one or more processors, a graphical visualization utilizing the aggregated backup activity metrics, wherein the graphical visualization provides an integrated overview of backup operations from the multiple separate backup devices; and
    presenting the graphical visualization via a display unit.",refine
US-6381360-B1,Apparatus and method for stereoscopic image processing,"A system for processing stereoscopic images, including:
a receiver configured to acquire a stereoscopic image pair comprising a left view image and a right view image;
a processing circuit in communication with the receiver, configured to generate depth information from said stereoscopic image pair and, based on the depth information, to generate a modified stereoscopic image; and
an output interface in communication with the processing circuit, configured to output said modified stereoscopic image.",refine
US-6438904-B1,Root wrapping type aseismic reinforcement construction and method for base of column member,"A seismic reinforcement assembly for a column member base, comprising:
a column member with a lower end portion;
a foundation configured to support the lower end portion of the column member;
a wrap-around reinforcement structure enclosing the lower end portion of the column member at its interface with the foundation;
wherein the wrap-around reinforcement structure is integrally joined with both the column member's lower end portion and the foundation to provide enhanced confinement, shear resistance, and bending moment capacity to the column member during seismic forces.",refine
US-6851105-B1,"Method and system for generating, applying, and defining a pattern","A computer-implemented method for generating, applying, and defining a pattern, the method comprising:
    obtaining a pattern definition, the definition comprising at least one characteristic defining the pattern;
    creating said pattern based on the received definition, the generated pattern comprising a plurality of elements configured according to the at least one characteristic; and
    implementing the generated pattern to a target entity to alter or define the target entity.",refine
US-7584443-B1,Clock domain conflict analysis for timing graphs,"A method for clock domain conflict analysis for timing graphs, comprising:
obtaining a timing graph representing an integrated circuit design;
determining multiple clock domains within the timing graph, each clock domain being linked to at least one clock signal;
locating at least one clock domain crossing (CDC) within the timing graph, wherein the at least one CDC signifies a data path or signal transition from a first clock domain to a second clock domain, where the second clock domain differs from the first clock domain;
conducting a clock domain conflict analysis on the at least one located CDC to uncover at least one potential timing conflict related to the clock domain crossing; and
producing an output reporting the at least one uncovered potential timing conflict.",refine
US-7135675-B1,Multi-pixel and multi-column electron emission inspector,"An apparatus for electron emission inspection, said apparatus comprising:
a plurality of electron columns, each comprising an electron source and an electron optical system, and each configured to generate and direct an electron beam toward a distinct region of a device under inspection;
a stage adapted to support the device under inspection;
a multi-pixel detector array arranged to receive emitted electrons from the device under inspection; and
a control unit interfaced with the plurality of electron columns and the multi-pixel detector array, said control unit configured to acquire electron emission data from multiple pixels across various distinct regions of the device under inspection, utilizing signals received from the multi-pixel detector array and by directing the plurality of electron columns.",refine
US-6672507-B1,Method and apparatus for printing a billing statement to provide supplementary product sales,"**Option A: Method Claim 1**
A method for outputting a billing statement to facilitate additional product sales, the method comprising:
acquiring billing information associated with a customer account;
retrieving customer profile data associated with said customer account;
identifying one or more supplemental product offers pertinent to said customer account based on said customer profile data and said billing information;
generating a billing statement layout comprising said billing information and said identified one or more supplemental product offers integrated for concurrent display; and
printing said generated billing statement, thereby promoting additional product sales.

**Option B: Apparatus Claim 1**
An apparatus for outputting a billing statement to facilitate additional product sales, the apparatus comprising:
at least one processor;
a memory coupled to said at least one processor, said memory storing instructions executable by said at least one processor;
an input module configured to acquire billing information associated with a customer account;
an offer selection module configured to retrieve customer profile data associated with said customer account and identify one or more supplemental product offers pertinent to said customer account based on said customer profile data and said billing information;
a statement generation module configured to generate a billing statement layout comprising said billing information and said identified one or more supplemental product offers integrated for concurrent display; and
a printing interface configured to cause output of said generated billing statement, thereby promoting additional product sales.",refine
