publication_number,title,claim1,label
US-7970062-B1,Method for distributing high and low-bandwidth voice channels using a minimum number of timeslots,"A method for distributing high and low-bandwidth voice channels using a minimum number of timeslots, comprising:
identifying a plurality of voice channels, said plurality of voice channels comprising at least one high-bandwidth voice channel and at least one low-bandwidth voice channel;
determining a bandwidth requirement for each of the plurality of voice channels;
allocating the plurality of voice channels to a set of available timeslots by:
    assigning each identified high-bandwidth voice channel to at least one dedicated timeslot based on its determined bandwidth requirement; and
    multiplexing a plurality of identified low-bandwidth voice channels into a shared timeslot based on their determined bandwidth requirements;
wherein said allocating minimizes a total number of timeslots utilized for transmitting the identified plurality of voice channels; and
transmitting the allocated plurality of voice channels within the minimized total number of timeslots.",ai_generated
US-7654213-B1,Normal belt capstan assembly,"A capstan assembly for a normal belt, comprising:
a rotatable capstan body having a circumferential belt engagement surface configured to frictionally engage a normal belt;
a drive mechanism operably coupled to the capstan body for imparting rotational motion thereto;
a support structure mechanically connected to the drive mechanism and the capstan body for mounting the assembly; and
a tensioning mechanism positioned to apply a force to the normal belt against the circumferential belt engagement surface, thereby maintaining consistent frictional engagement between the capstan body and the normal belt.",ai_generated
US-6482143-B1,Raidoactive therapeutic seed having selective marker configuration,"A radioactive therapeutic seed comprising:
a hermetically sealed, biocompatible capsule having an elongate body;
a radioactive isotope contained within said capsule; and
a plurality of radiopaque markers disposed on or within a wall of said capsule, wherein the plurality of radiopaque markers are arranged in a selective configuration;
wherein said selective configuration is formed by at least one of a distinct pattern, a distinct number, a distinct shape, or a distinct arrangement of said markers;
and wherein said selective configuration is configured to uniquely identify at least one characteristic of the seed selected from a type of seed, a dose strength, an intended target, or an orientation of the seed, when viewed under medical imaging.",ai_generated
US-6305807-B1,Digital electrochromic mirror system,"A system comprising:
an electrochromic mirror configured to selectively change an optical property in response to an electrical signal;
a digital controller communicatively coupled to the electrochromic mirror, the digital controller configured to generate a digital control signal;
at least one sensor communicatively coupled to the digital controller, the sensor configured to detect an environmental condition or user input and provide sensor data to the digital controller;
a driver circuit communicatively coupled to the digital controller and electrically coupled to the electrochromic mirror, the driver circuit configured to receive the digital control signal from the digital controller and apply the electrical signal to the electrochromic mirror based on the digital control signal, thereby causing the electrochromic mirror to change its optical property in response to the detected environmental condition or user input.",ai_generated
US-6920334-B1,Method and apparatus for providing gain control feedback in RF amplifiers,"A method for providing gain control feedback in an RF amplifier, comprising:
amplifying an RF input signal to produce an RF output signal;
monitoring an output characteristic of the RF output signal;
comparing the monitored output characteristic to a target reference value;
generating an error signal based on a difference between the monitored output characteristic and the target reference value; and
applying the error signal to a gain control input of the RF amplifier, thereby adjusting a gain of the RF amplifier to reduce the difference.",ai_generated
US-6305997-B1,Self-aligning universal joint assembly for a stern drive,"1. A self-aligning universal joint assembly for a stern drive, the assembly comprising:
   a first shaft member configured to be coupled to an engine output shaft;
   a second shaft member configured to be coupled to a propeller drive shaft;
   a universal joint disposed between and connecting the first shaft member and the second shaft member, the universal joint configured to transmit torque while accommodating a primary angular displacement between the first shaft member and the second shaft member; and
   a self-aligning mechanism integrated with at least one of the first shaft member, the second shaft member, or the universal joint, the self-aligning mechanism comprising a resiliently deformable element or a spherical bearing arrangement, the self-aligning mechanism configured to passively compensate for static and dynamic axial, radial, or offset angular misalignments between the first shaft member and the second shaft member that extend beyond the primary angular displacement capability of the universal joint, thereby enabling the universal joint assembly to automatically adjust its alignment within the stern drive.",ai_generated
US-6335511-B1,Control method and apparatus for an arc welding system,"1. A control system for an arc welding system, the system comprising:
a welding power source configured to supply electrical energy for generating an arc between a welding electrode and a workpiece;
a welding torch configured to hold the welding electrode and direct the arc;
at least one sensor configured to measure at least one real-time welding parameter during an arc welding operation;
a control unit communicatively coupled to the at least one sensor and the welding power source, the control unit programmed to receive the measured real-time welding parameter from the at least one sensor, to compare the measured real-time welding parameter to a pre-established target parameter, to determine a deviation between the measured real-time welding parameter and the pre-established target parameter, and to generate a control signal based on the determined deviation; and
at least one actuator communicatively coupled to the control unit and configured to adjust an output characteristic of the welding power source or a positional characteristic of the welding torch in response to the control signal, thereby dynamically controlling the arc welding operation.",ai_generated
US-6366251-B1,Antenna protection device,"A device for protecting an antenna, comprising:
a housing constructed from a weather-resistant material and configured to substantially enclose at least a portion of an antenna;
a mounting mechanism coupled to said housing and configured to securely attach said housing to a support structure or directly to the antenna; and
wherein said housing defines a signal-transmissive region configured to allow electromagnetic signals to pass through to or from the enclosed antenna with minimal attenuation.",ai_generated
US-6359081-B1,"Block copolymer with condensation or vinyl polymer, functions imparting, and lower cohesive E segments","A block copolymer comprising:
a first polymer block comprising a polymer derived from a condensation polymerization or a vinyl polymerization; and
a second polymer block comprising E segments, wherein said E segments are characterized by a lower cohesive energy density compared to said first polymer block.",ai_generated
US-6247635-B1,High density connector having a ball type of contact surface,"A high density electrical connector, comprising:
a housing having an insulating body;
a plurality of electrically conductive contacts supported within said housing;
wherein said plurality of contacts are arranged in a multi-row array;
each of said plurality of electrically conductive contacts comprising a mating end and a terminal end;
said mating end of at least one of said plurality of electrically conductive contacts having a substantially spherical contact surface;
said substantially spherical contact surface being configured for resilient electrical engagement with a corresponding mating contact surface of an opposing connector.",ai_generated
US-6909902-B1,Radio base station equipment and mobile station equipment determining location of mobile station by associating with another radio base station or mobile station in a mobile communication system,"A method for determining a location of a mobile station equipment in a mobile communication system, the method comprising:
establishing an association between a first mobile station equipment and at least one other communication equipment, said at least one other communication equipment comprising at least one of a radio base station equipment and a second mobile station equipment;
exchanging location-relevant information between said first mobile station equipment and said at least one other communication equipment via said association; and
determining the location of said first mobile station equipment by at least one of said first mobile station equipment and said at least one other communication equipment based on said exchanged location-relevant information.",ai_generated
US-6318267-B1,Integrated circuit configuration and ignition unit,"An ignition unit comprising:
an integrated circuit configured to generate ignition control signals based on a programmable configuration;
an igniter communicatively coupled to the integrated circuit;
wherein the integrated circuit varies at least one characteristic of an ignition event generated by the igniter in response to the programmable configuration.",ai_generated
US-7355416-B1,Measurement of cable quality by power over ethernet,"A method for measuring quality of an Ethernet cable using Power over Ethernet (PoE) techniques, the method comprising:
coupling a Power over Ethernet (PoE) test device to an Ethernet cable under test;
applying electrical power from the PoE test device to at least one conductor pair of the Ethernet cable under test;
measuring, by the PoE test device, at least one electrical characteristic of the Ethernet cable under test while the electrical power is applied;
determining, by the PoE test device, a cable quality metric of the Ethernet cable under test based on the measured electrical characteristic; and
generating an output indicative of the determined cable quality metric.",ai_generated
US-7395589-B1,Rotational power servo toolpost,"A rotational power servo toolpost comprising:
a toolpost base configured for mounting to a machine tool carriage;
a rotatable tool mounting turret coupled to the toolpost base, said rotatable tool mounting turret comprising at least one tool receiving interface;
a servo motor operably coupled to the rotatable tool mounting turret, said servo motor configured to impart rotational movement to the rotatable tool mounting turret;
at least one position sensor configured to provide feedback to a control system regarding an angular position of the rotatable tool mounting turret;
the control system operably coupled to the servo motor and the at least one position sensor, said control system configured to precisely control and maintain the angular position of the rotatable tool mounting turret based on the feedback from the at least one position sensor; and
a locking mechanism operably coupled to the rotatable tool mounting turret and the control system, said locking mechanism configured to selectively secure the rotatable tool mounting turret at a desired angular position under control of the control system.",ai_generated
US-6745210-B1,Method for visualizing data backup activity from a plurality of backup devices,"A method comprising:
    receiving, by one or more processors, data representing data backup activity from a plurality of distinct backup devices;
    processing, by the one or more processors, the received data to generate consolidated backup activity metrics;
    generating, by the one or more processors, a graphical visualization based on the consolidated backup activity metrics, wherein the graphical visualization presents a unified view of data backup activity across the plurality of distinct backup devices; and
    displaying the graphical visualization on a display device.",ai_generated
US-6381360-B1,Apparatus and method for stereoscopic image processing,"An apparatus for stereoscopic image processing, comprising:
a receiver configured to obtain a stereoscopic image pair including a left view image and a right view image;
a processing circuit communicatively coupled to the receiver, the processing circuit configured to generate depth information from the stereoscopic image pair and to generate a modified stereoscopic image based on the depth information; and
an output interface communicatively coupled to the processing circuit, the output interface configured to output the modified stereoscopic image.",ai_generated
US-6438904-B1,Root wrapping type aseismic reinforcement construction and method for base of column member,"An aseismic reinforcement construction for a base of a column member, comprising:
a column member having a lower end portion;
a foundation supporting the lower end portion of the column member;
a root wrapping reinforcement structure enveloping the lower end portion of the column member at an interface with the foundation;
wherein the root wrapping reinforcement structure is structurally integrated with both the column member lower end portion and the foundation to provide enhanced confinement, shear resistance, and bending moment capacity to the column member under seismic forces.",ai_generated
US-6851105-B1,"Method and system for generating, applying, and defining a pattern","A computer-implemented method for generating, applying, and defining a pattern, the method comprising:
    receiving a definition of a pattern, the definition comprising at least one characteristic associated with the pattern;
    generating the pattern based on the received definition, the generated pattern comprising a plurality of elements arranged according to the at least one characteristic; and
    applying the generated pattern to a target entity to modify or characterize the target entity.",ai_generated
US-7584443-B1,Clock domain conflict analysis for timing graphs,"A method for clock domain conflict analysis for timing graphs, comprising:
receiving a timing graph representing an integrated circuit design;
identifying a plurality of clock domains within the timing graph, each clock domain being associated with at least one clock signal;
identifying at least one clock domain crossing (CDC) within the timing graph, wherein the at least one CDC represents a data path or signal transition from a first clock domain to a second clock domain, the second clock domain being different from the first clock domain;
performing a clock domain conflict analysis on the at least one identified CDC to detect at least one potential timing conflict associated with the clock domain crossing; and
generating an output indicating the at least one detected potential timing conflict.",ai_generated
US-7135675-B1,Multi-pixel and multi-column electron emission inspector,"An apparatus for inspecting electron emission, the apparatus comprising:
a plurality of electron columns, each electron column including an electron source and an electron optics system, wherein each electron column is configured to generate and direct an electron beam towards a distinct region of a device under inspection;
a stage configured to support the device under inspection;
a multi-pixel detector array positioned to receive electrons emitted from the device under inspection; and
a control unit coupled to the plurality of electron columns and the multi-pixel detector array, the control unit configured to acquire electron emission data from a plurality of pixels across a plurality of distinct regions of the device under inspection, based on signals received from the multi-pixel detector array and by controlling the plurality of electron columns.",ai_generated
